Instance,BestMakespan,ExecTime_s,TrueUpperBound,RPD_percentage
20_20_1.txt,2339,17.2442,2297,1.83
20_20_10.txt,2296,22.6111,2178,5.42
20_20_2.txt,2198,21.1986,2100,2.67
20_20_3.txt,2374,16.9905,2326,2.06
20_20_4.txt,2282,17.1903,2223,2.65
20_20_5.txt,2384,18.1348,2291,2.06
20_20_6.txt,2290,17.2372,2226,2.88
20_20_7.txt,2345,19.8212,2273,2.17
20_20_8.txt,2232,18.2316,2200,1.45
20_20_9.txt,2286,21.5072,2237,2.19
20_5_1.txt,1278,13.6520,1278,0.00
20_5_10.txt,1108,13.5917,1108,0.00
20_5_2.txt,1412,13.5613,1359,1.90
20_5_3.txt,1081,13.5245,1081,0.00
20_5_4.txt,1293,13.8569,1293,0.00
20_5_5.txt,1236,13.4089,1236,0.00
20_5_6.txt,1195,13.2540,1195,0.00
20_5_7.txt,1280,11.5607,1239,1.31
20_5_8.txt,1206,13.4905,1206,0.00
20_5_9.txt,1230,12.3151,1230,0.00
50_10_1.txt,2992,84.4982,3025,-1.09
50_10_10.txt,3092,88.9020,3091,0.03
50_10_2.txt,2906,70.1456,2892,0.48
50_10_3.txt,2851,73.2366,2864,-0.45
50_10_4.txt,3133,67.8405,3064,2.25
50_10_5.txt,3091,75.9494,2986,3.52
50_10_6.txt,3006,76.7252,3006,0.00
50_10_7.txt,3201,66.6943,3107,3.03
50_10_8.txt,3044,65.5759,3039,0.16
50_10_9.txt,2897,70.5783,2902,-0.17
50_20_1.txt,4031,123.8188,3875,1.03
50_20_10.txt,3986,142.2247,3777,5.53
50_20_2.txt,3889,140.9719,3715,2.68
50_20_3.txt,3844,137.2208,3668,2.80
50_20_4.txt,3953,144.5815,3752,3.36
50_20_5.txt,3809,139.8851,3635,2.79
50_20_6.txt,3806,142.0544,3698,2.92
50_20_7.txt,3926,140.4039,3716,3.65
50_20_8.txt,3895,138.3650,3709,3.01
50_20_9.txt,3962,143.6747,3765,3.23
